iter	Passed	Remaining
660	177438	144688
661	177696	144412
662	177960	144140
663	178206	143853
664	178466	143577
665	178731	143307
666	178986	143027
667	179258	142762
668	179519	142488
669	179786	142218
670	180060	141955
671	180329	141687
672	180569	141396
673	180847	141136
674	181106	140860
675	181373	140591
676	181640	140321
677	181898	140046
678	182165	139776
679	182433	139508
680	182719	139253
681	182994	138989
682	183258	138718
683	183528	138451
684	183804	138188
685	184067	137916
686	184335	137647
687	184658	137420
688	184931	137155
689	185200	136887
690	185477	136624
691	185760	136367
692	186026	136097
693	186309	135839
694	186584	135575
695	186852	135306
696	187109	135030
697	187376	134760
698	187650	134496
699	187937	134241
700	188207	133974
701	188490	133715
702	188754	133443
703	189034	133183
704	189310	132920
705	189580	132652
706	189838	132376
707	190115	132114
708	190376	131840
709	190629	131561
710	190886	131284
711	191155	131016
712	191435	130755
713	191709	130491
714	191977	130222
715	192267	129968
716	192537	129700
717	192802	129429
718	193080	129168
719	193350	128900
720	193614	128628
721	193878	128357
722	194148	128089
723	194408	127815
724	194664	127538
725	194920	127262
726	195202	127002
727	195477	126737
728	195743	126467
729	196009	126197
730	196296	125941
731	196563	125671
732	196827	125400
733	197095	125131
734	197353	124856
735	197613	124582
736	197877	124311
737	198140	124039
738	198419	123777
739	198688	123509
740	198955	123239
741	199221	122969
742	199510	122713
743	199780	122445
744	200041	122172
745	200320	121910
746	200642	121674
747	200982	121449
748	201298	121208
749	201588	120953
750	201928	120726
751	202217	120470
752	202496	120207
753	202781	119947
754	203057	119682
755	203338	119420
756	203628	119164
757	203898	118896
758	204163	118624
759	204436	118357
760	204702	118086
761	204980	117823
762	205249	117554
763	205518	117285
764	205820	117035
765	206073	116757
766	206346	116490
767	206625	116227
768	206894	115957
769	207179	115697
770	207443	115425
771	207703	115151
772	207939	114864
773	208182	114581
774	208453	114313
775	208725	114045
776	208990	113774
777	209265	113509
778	209557	113252
779	209825	112982
780	210091	112712
781	210352	112438
782	210609	112163
783	210885	111898
784	211154	111629
785	211419	111358
786	211670	111079
787	211952	110817
788	212222	110549
789	212497	110283
790	212801	110032
791	213095	109776
792	213361	109505
793	213622	109232
794	213879	108957
795	214164	108696
796	214463	108442
797	214732	108173
798	215004	107905
799	215260	107630
800	215536	107364
801	215819	107102
802	216122	106850
803	216399	106584
804	216664	106313
805	216939	106047
806	217209	105778
807	217473	105506
808	217719	105226
809	217976	104951
810	218230	104675
811	218498	104405
812	218752	104129
813	219022	103860
814	219282	103587
815	219550	103318
816	219826	103052
817	220100	102785
818	220371	102517
819	220627	102241
820	220893	101971
821	221155	101699
822	221425	101430
823	221704	101166
824	221980	100900
825	222270	100640
826	222558	100380
827	222832	100113
828	223105	99845
829	223366	99572
830	223629	99301
831	223884	99025
832	224161	98760
833	224429	98490
834	224696	98220
835	224953	97946
836	225208	97671
837	225479	97402
838	225739	97129
839	226011	96861
840	226297	96600
841	226557	96327
842	226817	96054
843	227079	95782
844	227467	95563
845	227738	95295
846	228015	95028
847	228287	94760
848	228568	94496
849	228841	94228
850	229116	93961
851	229411	93703
852	229759	93466
853	230062	93210
854	230319	92936
855	230584	92664
856	230850	92394
857	231136	92131
858	231482	91892
859	231748	91621
860	232015	91350
861	232294	91085
862	232590	90826
863	232877	90563
864	233149	90294
865	233427	90028
866	233699	89759
867	233968	89490
868	234238	89220
869	234528	88959
870	234814	88695
871	235077	88423
872	235352	88156
873	235621	87886
874	235886	87614
875	236157	87345
876	236422	87074
877	236693	86805
878	236934	86525
879	237191	86251
880	237459	85981
881	237717	85707
882	237981	85436
883	238235	85161
884	238502	84890
885	238770	84620
886	239038	84350
887	239294	84076
888	239554	83803
889	239821	83533
890	240090	83263
891	240365	82996
892	240634	82726
893	240906	82457
894	241167	82185
895	241433	81914
896	241697	81643
897	241965	81373
898	242232	81103
899	242504	80834
900	242766	80562
901	243041	80295
902	243311	80026
903	243584	79757
904	243847	79486
905	244109	79214
906	244376	78943
907	244660	78679
908	244921	78407
909	245195	78139
910	245462	77869
911	245750	77605
912	246017	77335
913	246290	77066
914	246574	76801
915	246827	76527
916	247092	76256
917	247369	75989
918	247659	75726
919	247921	75454
920	248188	75184
921	248462	74915
922	248724	74644
923	248993	74374
924	249265	74106
925	249535	73836
926	249801	73566
927	250072	73297
928	250319	73021
929	250596	72753
930	250869	72485
931	251182	72228
932	251450	71958
933	251710	71686
934	251988	71419
935	252272	71153
936	252532	70881
937	252867	70630
938	253153	70365
939	253423	70095
940	253666	69818
941	253946	69552
942	254213	69282
943	254474	69010
944	254746	68741
945	255004	68468
946	255264	68196
947	255536	67927
948	255808	67658
949	256095	67393
950	256356	67121
951	256633	66854
952	256914	66587
953	257180	66316
954	257446	66046
955	257712	65775
956	257986	65507
957	258262	65239
958	258521	64967
959	258793	64698
960	259062	64428
961	259325	64157
962	259602	63889
963	259855	63615
964	260148	63352
965	260414	63081
966	260686	62812
967	260978	62548
968	261276	62285
969	261555	62018
970	261821	61747
971	262117	61484
972	262421	61222
973	262719	60959
974	262998	60691
975	263261	60420
976	263550	60155
977	263896	59902
978	264150	59629
979	264429	59361
980	264702	59092
981	264969	58822
982	265241	58552
983	265503	58281
984	265771	58011
985	266032	57739
986	266303	57469
987	266568	57198
988	266839	56929
989	267113	56660
990	267390	56392
991	267652	56120
992	267879	55841
993	268129	55568
994	268398	55298
995	268661	55027
996	268927	54756
997	269191	54485
998	269469	54217
999	269736	53947
1000	270002	53676
1001	270264	53405
1002	270524	53134
1003	270784	52862
1004	271048	52591
1005	271303	52318
1006	271574	52049
1007	271845	51780
1008	272107	51508
1009	272385	51240
1010	272643	50969
1011	272916	50699
1012	273187	50430
1013	273450	50159
1014	273770	49898
1015	274043	49629
1016	274311	49359
1017	274581	49090
1018	274839	48818
1019	275115	48549
1020	275377	48278
1021	275646	48008
1022	275927	47741
1023	276194	47470
1024	276456	47199
1025	276729	46930
1026	277002	46661
1027	277277	46392
1028	277567	46126
1029	277833	45856
1030	278082	45582
1031	278353	45313
1032	278612	45041
1033	278871	44770
1034	279136	44500
1035	279405	44230
1036	279676	43960
1037	279941	43690
1038	280200	43418
1039	280454	43146
1040	280712	42875
1041	280963	42602
1042	281237	42333
1043	281508	42064
1044	281775	41794
1045	282042	41524
1046	282303	41253
1047	282569	40983
1048	282831	40712
1049	283105	40443
1050	283356	40171
1051	283626	39901
1052	283986	39644
1053	284333	39385
1054	284646	39122
1055	285018	38866
1056	285311	38599
1057	285573	38328
1058	285854	38059
1059	286135	37791
1060	286406	37521
1061	286670	37251
1062	286944	36981
1063	287201	36710
1064	287493	36442
1065	287767	36173
1066	288004	35899
1067	288263	35628
1068	288543	35359
1069	288896	35099
1070	289185	34831
1071	289451	34561
1072	289724	34291
1073	290002	34022
1074	290269	33752
1075	290539	33482
1076	290825	33214
1077	291078	32942
1078	291358	32673
1079	291642	32404
1080	291914	32134
1081	292187	31865
1082	292456	31594
1083	292715	31323
1084	292974	31052
1085	293239	30782
1086	293503	30511
1087	293778	30241
1088	294044	29971
1089	294313	29701
1090	294582	29431
1091	294838	29159
1092	295106	28889
1093	295371	28619
1094	295644	28349
1095	295920	28080
1096	296196	27810
1097	296455	27539
1098	296726	27269
1099	297003	27000
1100	297289	26731
1101	297563	26462
1102	297832	26191
1103	298109	25922
1104	298377	25652
1105	298639	25381
1106	298897	25110
1107	299168	24840
1108	299426	24569
1109	299714	24301
1110	299976	24030
1111	300242	23760
1112	300503	23489
1113	300762	23218
1114	301028	22948
1115	301287	22677
1116	301571	22408
1117	301834	22138
1118	302107	21868
1119	302391	21599
1120	302664	21329
1121	302967	21061
1122	303226	20791
1123	303484	20520
1124	303745	20249
1125	304013	19979
1126	304283	19709
1127	304615	19443
1128	304950	19177
1129	305295	18912
1130	305651	18647
1131	305972	18379
1132	306260	18110
1133	306546	17841
1134	306814	17570
1135	307099	17301
1136	307384	17031
1137	307636	16760
1138	307919	16490
1139	308221	16222
1140	308489	15951
1141	308764	15681
1142	309051	15412
1143	309318	15141
1144	309597	14871
1145	309857	14600
1146	310135	14330
1147	310413	14060
1148	310694	13790
1149	310993	13521
1150	311264	13251
1151	311529	12980
1152	311801	12710
1153	312070	12439
1154	312366	12170
1155	312622	11899
1156	312867	11627
1157	313144	11357
1158	313410	11086
1159	313685	10816
1160	313951	10546
1161	314230	10276
1162	314488	10005
1163	314760	9734
1164	315030	9464
1165	315309	9194
1166	315565	8923
1167	315843	8653
1168	316101	8382
1169	316366	8111
1170	316622	7841
1171	316889	7570
1172	317179	7300
1173	317461	7030
1174	317730	6760
1175	317991	6489
1176	318257	6219
1177	318518	5948
1178	318789	5678
1179	319067	5407
1180	319341	5137
1181	319608	4867
1182	319877	4596
1183	320137	4326
1184	320378	4055
1185	320645	3785
1186	320911	3514
1187	321189	3244
1188	321481	2974
1189	321764	2703
1190	322029	2433
1191	322306	2163
1192	322584	1892
1193	322853	1622
1194	323109	1351
1195	323371	1081
1196	323609	811
1197	323852	540
1198	324120	270
1199	324388	0
